Date;PKod;Pgroup;Pname;Pquantity;pce_zn;pwa_zn;pce_sn;pwa_sn;pce_sb;pwa_sb;pudzsb;pmarza;pmarzajedn;pkwmarza;pudzmarza;month
2018-01-01;992;SPICES;GALEO PAPRYKA OSTRA 20G;1.0;0.64;0.64;1.13;1.13;1.39;1.39;0.0;43.36;0.49;0.49;0.01;1
2018-01-01;993;SPICES;GALEO PAPRYKA SLODKA 16 G;3.0;0.77;2.31;1.13;3.39;1.39;4.17;0.0;31.86;0.36;1.08;0.01;1
2018-01-01;4836;SPICES;GALEO PIEPRZ CZARNY MIELONY;7.0;0.7;4.9;1.13;7.91;1.39;9.73;0.01;38.05;0.43;3.01;0.03;1
2018-01-01;3569;SPICES;GALEO PIEPRZ ZIOLOWY 12 G;4.0;0.9;3.6;1.19;4.76;1.29;5.16;0.01;24.37;0.29;1.16;0.01;1
2018-01-01;1001;SPICES;GALEO PRZYP.DO KURCZAKA 25G;3.0;0.8;2.4;1.29;3.87;1.39;4.17;0.0;37.98;0.49;1.47;0.02;1
2018-01-01;999;SPICES;GALEO PRZYPRAWA DO FLAKOW 20G;1.0;0.89;0.89;1.19;1.19;1.29;1.29;0.0;25.21;0.3;0.3;0.0;1
2018-01-01;8567;SPICES;GALEO PRZYPRAWA DO RYB CYTRYNA;2.0;0.88;1.76;1.29;2.58;1.39;2.78;0.0;31.78;0.41;0.82;0.01;1
2018-01-01;13001;SPICES;GALEO PRZYPRAWA DO ZIEMNIAKOW;5.0;0.88;4.4;1.19;5.95;1.29;6.45;0.01;26.05;0.31;1.55;0.02;1
2018-01-01;3517;SPICES;GALEO SODA OCZYSZCZONA 24 GG;2.0;0.49;0.98;0.72;1.44;0.89;1.78;0.0;31.94;0.23;0.46;0.0;1
2018-01-01;997;SPICES;GALEO ZIELE ANGIELSKIE 12G;9.0;0.79;7.11;1.05;9.45;1.29;11.61;0.01;24.76;0.26;2.34;0.02;1
2018-01-01;5505;SPICES;GALEO ZIOLA PROWANSALSKIE 10GR;4.0;0.7;2.8;1.19;4.76;1.29;5.16;0.01;41.18;0.49;1.96;0.02;1
2018-01-01;3868;GENERAL_FOOD;GELLWE CUKIER WANILIOWY 15G;10.0;0.45;4.5;0.64;6.4;0.79;7.9;0.01;29.69;0.19;1.9;0.02;1
2018-01-01;18549;CHIPS_FLAKES;GELLWE FITELLA MUSLI BANANOWE;1.0;0.83;0.83;1.32;1.32;1.39;1.39;0.0;37.12;0.49;0.49;0.01;1
2018-01-01;18550;CHIPS_FLAKES;GELLWE FITELLA MUSLI TROPIKALNE;2.0;0.83;1.66;1.32;2.64;1.39;2.78;0.0;37.12;0.49;0.98;0.01;1
2018-01-01;18551;CHIPS_FLAKES;GELLWE FITELLA MUSLI TRUSKAWKA;1.0;0.83;0.83;1.32;1.32;1.39;1.39;0.0;37.12;0.49;0.49;0.01;1
2018-01-01;4574;GENERAL_FOOD;GELLWE GALARETKA AGREST 79G;1.0;0.94;0.94;1.47;1.47;1.59;1.59;0.0;36.05;0.53;0.53;0.01;1
2018-01-01;16803;GENERAL_FOOD;GELLWE KISIEL CYTRYNOWY 38G;9.0;0.55;4.95;0.82;7.38;0.89;8.01;0.01;32.93;0.27;2.43;0.03;1
2018-01-01;8912;SPICES;GELLWE SODA OCZYSZCZONA 80G;1.0;0.45;0.45;0.79;0.79;0.97;0.97;0.0;43.04;0.34;0.34;0.0;1
2018-01-01;8536;GENERAL_FOOD;GELLWE ZELATYNA 20 G;4.0;1.39;5.56;1.99;7.96;2.15;8.6;0.01;30.15;0.6;2.4;0.02;1
2018-01-01;545;CHEMISTRY;GILLETTE MASZYNKA BLU 2 PLUS;26.0;1.53;39.78;2.16;56.16;2.66;69.16;0.08;29.17;0.63;16.38;0.17;1
2018-01-01;15654;CIGARETTES;GILZT GAPARD 100+25;6.0;1.29;7.74;1.54;9.24;1.89;11.34;0.01;16.23;0.25;1.5;0.02;1
2018-01-01;12580;CIGARETTES;GILZY GULIWER 300+50GRAT;5.0;3.61;18.07;4.16;20.78;5.11;25.55;0.03;13.04;0.54;2.71;0.03;1
2018-01-01;8472;CIGARETTES;GILZY PS 250 SZT;4.0;2.98;11.92;3.55;14.2;4.37;17.48;0.02;16.06;0.57;2.28;0.02;1
2018-01-01;18960;GENERAL_FOOD;GLUGOPIS Z CUKIERKAMI;1.0;3.76;3.76;6.27;6.27;7.71;7.71;0.01;40.03;2.51;2.51;0.03;1
2018-01-01;10454;SWEETS;GOFRY KOKOS 100;3.0;2.14;6.42;2.84;8.52;3.49;10.47;0.01;24.65;0.7;2.1;0.02;1
2018-01-01;10687;SWEETS;GOFRY SEZAM 100 G;8.0;2.14;17.12;2.84;22.72;3.49;27.92;0.03;24.65;0.7;5.6;0.06;1
2018-01-01;10452;SWEETS;GOFRY SLODKIE 100 G;14.0;2.14;29.96;2.84;39.76;3.49;48.86;0.05;24.65;0.7;9.8;0.1;1
2018-01-01;8395;GENERAL;GOLARKA VENUS 2 SZT;1.0;2.04;2.04;4.38;4.38;5.39;5.39;0.01;53.42;2.34;2.34;0.02;1
2018-01-01;13943;SWEETS;GOPL CZEKOLADA GORZKA 90 G;11.0;1.99;21.89;2.76;30.36;3.39;37.29;0.04;27.9;0.77;8.47;0.09;1
2018-01-01;1290;SWEETS;GOPL CZEKOLADA MLECZNA 90G;9.0;1.99;17.91;2.76;24.84;3.39;30.51;0.03;27.9;0.77;6.93;0.07;1
2018-01-01;7899;SWEETS;GOPL PRALINY JEY ME 27 G;1.0;0.84;0.84;1.37;1.37;1.69;1.69;0.0;38.69;0.53;0.53;0.01;1
2018-01-01;18187;SWEETS;GOPL.CUKIERKI MIETA 90G;2.0;1.05;2.1;1.46;2.92;1.79;3.58;0.0;28.08;0.41;0.82;0.01;1
2018-01-01;17971;SWEETS;GOPL.LANDRYNY BRANDO 90G;8.0;1.04;8.35;1.46;11.68;1.79;14.32;0.02;28.51;0.42;3.33;0.03;1
2018-01-01;17970;SWEETS;GOPLANA EXTRA MIETA EXTRA MOCNE;9.0;0.92;8.28;1.37;12.33;1.69;15.21;0.02;32.85;0.45;4.05;0.04;1
